buy_date,sell_date,qty,buy_price,sell_price
2024-12-12,2024-12-13,1,2513.327880859375,2507.6513965743707
2024-12-17,2024-12-18,2,2442.919921875,2427.9816663219067
2024-12-19,2024-12-20,2,2449.492431640625,2459.7997314876648
2024-12-20,2024-12-23,2,2381.773193359375,2385.5576317595787
2024-12-27,2024-12-30,2,2410.454345703125,2408.8113151515645
2024-12-30,2024-12-31,2,2343.880615234375,2350.1544116228874
2025-01-03,2025-01-06,2,2472.6962890625,2477.72552803493
2025-01-06,2025-01-07,2,2403.8818359375,2410.056071338676
2025-01-08,2025-01-09,2,2352.046630859375,2350.254028197091
2025-01-09,2025-01-10,2,2316.842529296875,2322.867661132278
2025-01-10,2025-01-13,2,2273.821044921875,2267.6965457282604
2025-01-13,2025-01-14,2,2167.611572265625,2169.4537459578555
2025-01-22,2025-01-23,2,2263.8623046875,2253.1068967446527
2025-01-24,2025-01-27,2,2261.32275390625,2255.4472750142413
2025-01-27,2025-01-28,2,2222.18505859375,2244.6918080568494
2025-02-10,2025-02-11,1,2547.834716796875,2535.2369160765375
2025-02-11,2025-02-12,2,2474.73779296875,2489.675831335831
2025-02-13,2025-02-14,2,2465.177490234375,2465.7749339323764
2025-02-14,2025-02-17,2,2391.48291015625,2391.4829425120215
2025-02-17,2025-02-18,2,2355.930419921875,2350.7519850008557
2025-02-21,2025-02-24,2,2315.3486328125,2300.0124036645916
2025-02-25,2025-02-27,2,2350.9013671875,2350.9013546058854
2025-02-27,2025-02-28,2,2329.291015625,2308.4275821093574
2025-02-28,2025-03-03,2,2216.3095703125,2259.5799896884187
2025-03-04,2025-03-05,2,2284.427001953125,2299.066362552867
2025-03-10,2025-03-11,2,2247.928466796875,2237.720677793268
2025-03-12,2025-03-13,2,2249.671142578125,2245.737500053787
2025-03-28,2025-04-01,2,2419.85009765625,2425.0
2025-04-03,2025-04-04,2,2476.050048828125,2473.050048828125
2025-04-07,2025-04-08,2,2368.14990234375,2395.050048828125
2025-04-29,2025-04-30,1,2702.60009765625,2702.89990234375
2025-04-30,2025-05-02,1,2672.0,2700.5
2025-05-08,2025-05-09,1,2695.60009765625,2645.0
2025-05-09,2025-05-12,1,2663.699951171875,2725.0
2025-05-13,2025-05-14,1,2712.39990234375,2720.39990234375
2025-05-20,2025-05-21,1,2751.199951171875,2761.10009765625
2025-05-23,2025-05-26,1,2780.60009765625,2794.0
2025-05-30,2025-06-02,1,2780.800048828125,2785.0
2025-06-02,2025-06-03,1,2763.39990234375,2764.10009765625
2025-06-03,2025-06-04,1,2744.800048828125,2750.0
2025-06-05,2025-06-06,1,2717.60009765625,2739.0
2025-06-09,2025-06-10,1,2743.199951171875,2745.0
2025-06-12,2025-06-13,1,2739.39990234375,2705.0
2025-06-17,2025-06-18,1,2777.199951171875,2777.199951171875
2025-06-23,2025-06-24,1,2778.60009765625,2800.89990234375
2025-07-04,2025-07-07,1,2880.10009765625,2876.10009765625
2025-07-08,2025-07-09,1,2830.699951171875,2810.0
2025-07-10,2025-07-11,1,2830.10009765625,2810.0
2025-07-11,2025-07-14,1,2754.5,2754.5
2025-07-18,2025-07-21,1,2849.300048828125,2850.39990234375
2025-07-22,2025-07-23,1,2795.39990234375,2809.39990234375
2025-07-24,2025-07-25,1,2797.699951171875,2797.699951171875
2025-07-25,2025-07-28,1,2774.39990234375,2774.39990234375
2025-07-30,2025-07-31,1,2793.60009765625,2760.0
2025-08-08,2025-08-11,1,2968.89990234375,2985.0
2025-08-12,2025-08-13,1,2963.800048828125,2977.800048828125
2025-08-28,2025-08-29,1,3256.0,3239.10009765625
